strategy,kind,U,Re,a_meas,a_force,residual,substeps,accepted
fixed_explicit,fixed_explicit,0.300000,20.000000,-4.31411082,-4.94529120,0.06434051,1,true
fixed_explicit,fixed_explicit,0.400000,26.666667,-2.42882434,-2.78529120,0.03633709,1,true
fixed_explicit,fixed_explicit,0.450000,30.000000,-1.39847294,-1.60404120,0.02095497,1,true
fixed_explicit,fixed_explicit,0.500000,33.333333,-0.30969633,-0.35529120,0.00464780,1,true
fixed_explicit,fixed_explicit,0.550000,36.666667,0.83747035,0.96095880,0.01258802,1,true
fixed_explicit,fixed_explicit,0.600000,40.000000,2.04299199,2.34470880,0.03075605,1,true
fixed_explicit,fixed_explicit,0.700000,46.666667,4.62895973,5.31470880,0.06990306,1,true
fixed_subcycle_4,fixed_subcycle,0.300000,20.000000,-4.76445119,-4.94529120,0.01843425,4,true
fixed_subcycle_4,fixed_subcycle,0.400000,26.666667,-2.68148114,-2.78529120,0.01058207,4,true
fixed_subcycle_4,fixed_subcycle,0.450000,30.000000,-1.54369429,-1.60404120,0.00615157,4,true
fixed_subcycle_4,fixed_subcycle,0.500000,33.333333,-0.34179989,-0.35529120,0.00137526,4,true
fixed_subcycle_4,fixed_subcycle,0.550000,36.666667,0.92413192,0.96095880,0.00375401,4,true
fixed_subcycle_4,fixed_subcycle,0.600000,40.000000,2.25403112,2.34470880,0.00924339,4,true
fixed_subcycle_4,fixed_subcycle,0.700000,46.666667,5.10545199,5.31470880,0.02133097,4,true
residual_gated,residual_gated,0.300000,20.000000,-4.83897128,-4.94529120,0.01083791,8,true
residual_gated,residual_gated,0.400000,26.666667,-2.68148114,-2.78529120,0.01058207,4,true
residual_gated,residual_gated,0.450000,30.000000,-1.49552505,-1.60404120,0.01106179,2,true
residual_gated,residual_gated,0.500000,33.333333,-0.30969633,-0.35529120,0.00464780,1,true
residual_gated,residual_gated,0.550000,36.666667,0.83747035,0.96095880,0.01258802,1,true
residual_gated,residual_gated,0.600000,40.000000,2.25403112,2.34470880,0.00924339,4,true
residual_gated,residual_gated,0.700000,46.666667,5.18399894,5.31470880,0.01332414,8,true
