kind,step,v_in,v_tilde,v_after,residual
explicit,0,0.000000000000e0,1.000000000000e0,5.000000000000e-1,1.000000000000e0
explicit,1,5.000000000000e-1,-5.000000000000e-1,5.000000000000e-1,1.000000000000e0
explicit,2,5.000000000000e-1,-5.000000000000e-1,-5.000000000000e-1,1.000000000000e0
explicit,3,-5.000000000000e-1,2.500000000000e0,5.000000000000e-1,3.000000000000e0
explicit,4,5.000000000000e-1,-5.000000000000e-1,1.500000000000e0,1.000000000000e0
explicit,5,1.500000000000e0,-3.500000000000e0,-1.500000000000e0,5.000000000000e0
explicit,6,-1.500000000000e0,5.500000000000e0,-5.000000000000e-1,7.000000000000e0
explicit,7,-5.000000000000e-1,2.500000000000e0,4.500000000000e0,3.000000000000e0
explicit,8,4.500000000000e0,-1.250000000000e1,-2.500000000000e0,1.700000000000e1
explicit,9,-2.500000000000e0,8.500000000000e0,-5.500000000000e0,1.100000000000e1
explicit,10,-5.500000000000e0,1.750000000000e1,1.150000000000e1,2.300000000000e1
explicit,11,1.150000000000e1,-3.350000000000e1,5.000000000000e-1,4.500000000000e1
explicit,12,5.000000000000e-1,-5.000000000000e-1,-2.250000000000e1,1.000000000000e0
explicit,13,-2.250000000000e1,6.850000000000e1,2.250000000000e1,9.100000000000e1
explicit,14,2.250000000000e1,-6.650000000000e1,2.350000000000e1,8.900000000000e1
explicit,15,2.350000000000e1,-6.950000000000e1,-6.750000000000e1,9.300000000000e1
explicit,16,-6.750000000000e1,2.035000000000e2,2.150000000000e1,2.710000000000e2
explicit,17,2.150000000000e1,-6.350000000000e1,1.145000000000e2,8.500000000000e1
explicit,18,1.145000000000e2,-3.425000000000e2,-1.565000000000e2,4.570000000000e2
explicit,19,-1.565000000000e2,4.705000000000e2,-7.150000000000e1,6.270000000000e2
explicit,20,-7.150000000000e1,2.155000000000e2,3.855000000000e2,2.870000000000e2
explicit,21,3.855000000000e2,-1.155500000000e3,-2.415000000000e2,1.541000000000e3
implicit,3,2.500000000000e-1,2.500000000000e-1,2.500000000000e-1,8.326672684689e-17
